Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,13578,4,3,5,7,17,1,1637,0.00%,3.8,26.6
http://192.168.8.17/eayun-ecsc/#/sys/login,13578,2,2,3,4,9,1,926,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/sys/login/login.do,13578,1819,1417,3635,4589,7026,96,10847,0.00%,3.8,1.7
http://192.168.8.17/eayun-ecsc/views/main.html,13572,3,2,3,4,10,1,912,0.00%,3.8,26.0
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,13572,1456,1040,3096,4058,6106,10,13317,0.00%,3.8,5.1
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,13566,1104,775,2406,3195,5380,6,8686,0.00%,3.8,.6
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,13566,1094,775,2361,3131,4876,5,8323,0.00%,3.8,.6
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,13561,1040,738,2275,3022,4923,8,8408,0.00%,3.8,48.3
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,13548,1051,728,2334,3154,5122,5,8465,0.00%,3.8,.5
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,13544,1036,722,2301,3067,5039,5,8213,0.00%,3.8,1.7
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,13543,3,2,7,10,14,1,1587,0.00%,3.8,.6
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,13543,2,1,5,8,10,0,1414,0.00%,3.8,3.9
http://192.168.8.17/eayun-ecsc/#/app,13543,7,2,6,9,33,1,2061,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/overview,13543,4,2,6,9,16,1,1234,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,13543,2,1,5,8,10,0,1012,0.00%,3.8,1.0
http://192.168.8.17/eayun-ecsc/#/app/cloud,13543,5,2,5,8,17,1,3010,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,13543,4,2,5,8,15,1,1978,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,13543,4,2,5,8,14,1,1698,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,13543,2,1,5,8,10,0,423,0.00%,3.8,2.2
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,13543,5,2,5,8,16,1,2218,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,13543,3,2,5,8,15,1,1052,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,13543,3,1,5,8,10,0,1099,0.00%,3.8,11.6
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,108257,4,1,6,8,11,0,1728,0.00%,30.1,87.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,13543,4,2,5,8,16,1,1126,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,27078,970,660,2148,2909,4766,6,8356,0.00%,7.5,16.8
http://192.168.8.17/eayun-ecsc/views/net/main.html,13542,3,1,5,8,11,0,1694,0.00%,3.8,6.2
http://192.168.8.17/eayun-ecsc/views/directives/select.html,54116,2,1,5,8,10,0,1576,0.00%,15.1,16.3
http://192.168.8.17/eayun-ecsc/#/app/net,13542,6,2,5,8,29,1,1690,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,13542,4,2,5,8,16,1,1553,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,13542,4,2,5,8,14,1,1043,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,13542,1014,687,2235,3094,5053,10,10422,0.00%,3.8,2.1
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,13540,2,1,5,8,11,0,1135,0.00%,3.8,1.1
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,13540,6,2,6,8,27,1,1511,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,27075,6,2,7,9,21,1,1941,0.00%,7.5,52.6
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,13540,4,2,5,8,12,1,2188,0.00%,3.8,18.2
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,13540,936,630,2143,2886,4576,3,7609,0.00%,3.8,.8
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,13539,891,593,2011,2695,4414,7,8525,0.00%,3.8,1.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,13535,3,1,6,8,11,0,1401,0.00%,3.8,1.2
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,13535,869,585,1903,2679,4409,6,8090,0.00%,3.8,2.1
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,13535,8,2,8,10,227,1,1010,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,13535,2,1,7,9,10,0,749,0.00%,3.8,2.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,13535,7,2,8,9,221,1,1773,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,13535,6,2,8,10,20,1,1719,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/member/membermng.html,13535,4,1,7,9,12,0,906,0.00%,3.8,11.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/member,13535,6,2,7,9,30,1,1136,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/healthmonitor/monitormng.html,13535,4,1,7,9,12,0,1660,0.00%,3.8,11.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/healthmonitor,13535,6,2,7,9,19,1,2286,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/vip/vipmng.html,13535,3,2,7,9,11,0,1205,0.00%,3.8,13.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/vip,13535,6,2,7,9,18,1,1689,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/net/floatip/floatmng.html,13535,3,1,6,8,10,0,661,0.00%,3.8,7.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/floatip,13535,5,2,7,9,18,1,905,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/safety/safetymain.html,13530,5,1,7,9,12,0,3000,0.00%,3.8,5.8
http://192.168.8.17/eayun-ecsc/#/app/safety,13530,8,2,7,9,225,1,1313,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar,13530,5,2,7,9,18,1,1149,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall,13530,5,2,7,9,18,1,1450,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall/fireWallList,13530,5,2,7,9,18,1,1698,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/safety/firewallpolicy/fwpolicymng.html,13530,3,2,7,9,11,0,1662,0.00%,3.8,12.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall/fwlPolicyList,13530,6,2,7,9,18,1,935,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/safety/firewallrule/firewallrulemng.html,13530,3,2,6,8,10,0,914,0.00%,3.8,11.8
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/firewall/fireWallRuleList,13530,5,2,7,9,16,1,1699,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/group,13530,4,2,7,9,15,1,927,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar/group/list,13530,4,2,6,9,15,1,1773,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/views/monitor/monitormain.html,13530,2,1,6,8,10,0,419,0.00%,3.8,1.0
http://192.168.8.17/eayun-ecsc/#/app/monitor,13530,5,2,6,8,17,1,1401,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/monitor/monitorbar,13530,4,2,6,8,14,1,1650,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/monitor/monitorbar/resourcemonitor,27044,3,2,5,8,12,1,1178,0.00%,7.5,52.5
http://192.168.8.17/eayun-ecsc/views/monitor/monitordetail.html,13530,2,1,5,8,10,0,1309,0.00%,3.8,3.4
http://192.168.8.17/eayun-ecsc/views/monitor/resourcemonitor/detailresmnt.html,13530,3,1,5,8,10,0,902,0.00%,3.8,8.7
http://192.168.8.17/eayun-ecsc/views/monitor/resourcemonitor/imgresmnt.html,13530,3,1,5,8,10,0,732,0.00%,3.8,6.9
http://192.168.8.17/eayun-ecsc/views/directives/datetimepicker.html,13530,2,1,5,7,10,0,239,0.00%,3.8,2.8
http://192.168.8.17/eayun-ecsc/monitor/resourcemonitor/getVmdetailById.do,13530,995,688,2185,2939,4625,5,8781,0.00%,3.8,1.8
http://192.168.8.17/eayun-ecsc/views/monitor/resourcemonitor/monitorCPU.html,13520,2,1,5,8,10,0,1480,0.00%,3.8,1.5
http://192.168.8.17/eayun-ecsc/#/app/monitor/detail/resourceMonitor//resmntdetail/resmntimg/8a696ec1-828c-4fc8-86bc-a873bef32bc8,13520,5,2,5,8,17,1,1401,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/#/app/monitor/detail/resourceMonitor//resmntdetail/resmntimg/8a696ec1-828c-4fc8-86bc-a873bef32bc8/monitorcpu,13520,4,2,5,8,14,1,909,0.00%,3.8,26.3
http://192.168.8.17/eayun-ecsc/cloud/vm/getProListByCustomer.do,13520,1433,1103,2824,3664,5456,25,8323,0.00%,3.8,3.2
http://192.168.8.17/eayun-ecsc/views/monitor/monitorbar.html,13514,2,1,3,6,10,0,850,0.00%,3.8,5.6
http://192.168.8.17/eayun-ecsc/views/monitor/resourcemonitor/resmntmng.html,13514,3,2,3,6,11,1,934,0.00%,3.8,21.5
http://192.168.8.17/eayun-ecsc/views/monitor/alarm/main.html,13514,1,1,3,5,9,0,219,0.00%,3.8,2.5
http://192.168.8.17/eayun-ecsc/#/app/monitor/monitorbar/alarm,13514,3,2,4,6,10,1,924,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/#/app/monitor/monitorbar/alarm/alarmList,13514,2,2,4,6,10,1,935,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/views/auth/main.html,13514,1,1,3,5,9,0,1291,0.00%,3.8,4.0
http://192.168.8.17/eayun-ecsc/views/auth/user/usermng.html,13514,3,2,4,6,10,1,1058,0.00%,3.8,21.6
http://192.168.8.17/eayun-ecsc/#/app/auth,13514,2,2,4,6,10,1,1034,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/#/app/auth/customer,13514,3,2,4,6,10,1,1326,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/#/app/auth/user,13514,3,2,4,6,10,1,893,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/views/business/main.html,13514,1,1,3,5,9,0,303,0.00%,3.8,3.1
http://192.168.8.17/eayun-ecsc/#/app/business,13514,3,2,4,6,11,1,1701,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/#/app/business/tag,13514,3,2,4,6,10,1,848,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/#/app/business/tag/tagGroupList,13514,2,2,4,6,10,1,849,0.00%,3.8,26.2
http://192.168.8.17/eayun-ecsc/views/syssetup/sysmng.html,13514,1,1,3,5,9,0,639,0.00%,3.8,9.1
http://192.168.8.17/eayun-ecsc/syssetup/checkCloudNumlByCus.do,13514,1115,754,2440,3356,5328,3,12463,0.00%,3.8,.6
http://192.168.8.17/eayun-ecsc/syssetup/getModelListByCustomer.do,13510,1076,701,2438,3322,5277,3,8280,0.00%,3.8,.6
http://192.168.8.17/eayun-ecsc/#/app/business/syssetup,13505,4,2,4,7,12,1,1397,0.00%,3.8,26.2
