Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,12448,10,4,9,16,58,2,3027,0.00%,4.1,29.3
http://192.168.8.17/eayun-ecsc/#/sys/login,12448,5,2,5,8,17,1,1589,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/sys/login/login.do,12448,1798,1414,3546,4608,6965,95,12115,0.00%,4.1,1.9
http://192.168.8.17/eayun-ecsc/views/main.html,12444,4,2,5,8,14,1,3161,0.00%,4.1,28.6
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,12444,1284,885,2763,3750,6134,7,10194,0.00%,4.1,5.6
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,12443,965,624,2191,2883,4543,6,9822,0.00%,4.2,.6
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,12443,957,654,2066,2834,4714,5,9852,0.00%,4.2,.6
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,12443,937,637,2053,2813,4562,8,7068,0.00%,4.2,53.2
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,12442,939,639,2080,2781,4396,5,8941,0.00%,4.2,.6
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,12440,930,651,2028,2707,4424,4,9197,0.00%,4.2,1.9
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,12438,5,3,9,11,16,1,4839,0.00%,4.2,.7
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,12438,3,2,7,9,12,0,634,0.00%,4.2,4.3
http://192.168.8.17/eayun-ecsc/#/app,12438,8,2,8,10,226,1,3543,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/overview,12438,6,2,8,10,29,1,3819,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,12438,2,1,7,9,11,0,436,0.00%,4.2,1.1
http://192.168.8.17/eayun-ecsc/#/app/cloud,12438,7,2,7,10,36,1,2022,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,12438,5,2,7,9,19,1,1687,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,12438,6,2,8,9,18,1,1247,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,12438,3,1,7,9,11,0,636,0.00%,4.2,2.4
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,12438,5,2,7,9,19,1,1112,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,12438,5,2,7,9,18,1,1061,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,12438,3,2,7,9,11,1,873,0.00%,4.2,12.8
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,99296,5,2,8,9,15,0,1786,0.00%,33.2,95.8
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,12438,6,2,7,9,19,1,2179,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,24856,882,603,1926,2619,4259,6,8926,0.00%,8.3,18.5
http://192.168.8.17/eayun-ecsc/views/net/main.html,12432,4,2,7,9,13,0,1293,0.00%,4.2,6.8
http://192.168.8.17/eayun-ecsc/views/directives/select.html,49616,3,2,7,9,11,0,2147,0.00%,16.6,17.9
http://192.168.8.17/eayun-ecsc/#/app/net,12432,7,2,8,9,27,1,2042,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,12432,6,2,8,10,21,1,1416,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,12432,5,2,7,9,18,1,1853,0.00%,4.2,29.0
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,12432,947,629,2091,2900,4584,10,9807,0.00%,4.1,2.4
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,12424,3,1,7,9,11,0,916,0.00%,4.1,1.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,12424,7,2,8,10,23,1,2970,0.00%,4.1,29.0
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,24842,7,2,8,10,32,1,1544,0.00%,8.3,57.9
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,12424,5,2,7,9,17,1,1213,0.00%,4.1,20.0
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,12424,860,566,1938,2592,4176,4,9808,0.00%,4.1,.8
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,12422,791,537,1738,2307,3802,9,8239,0.00%,4.1,1.4
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,12420,3,2,8,9,13,0,1216,0.00%,4.1,1.3
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,12420,779,511,1748,2338,3846,7,9841,0.00%,4.1,2.3
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,12418,10,2,9,10,247,1,1669,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,12418,3,2,8,9,12,0,2497,0.00%,4.1,3.0
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,12418,9,2,9,10,232,1,3016,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,12418,7,2,9,10,39,1,1053,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/member/membermng.html,12418,6,2,8,10,17,0,874,0.00%,4.1,12.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/member,12418,9,2,9,10,229,1,1112,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/healthmonitor/monitormng.html,12418,4,2,8,10,15,1,1298,0.00%,4.1,12.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/healthmonitor,12418,7,2,9,10,34,1,1016,0.00%,4.1,28.9
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/vip/vipmng.html,12418,4,2,8,9,15,1,1201,0.00%,4.1,14.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/vip,12418,7,2,8,10,31,1,1221,0.00%,4.1,28.9
