Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,1696,34,6,17,35,1174,2,4623,0.00%,7.1,49.9
http://192.168.8.17/eayun-ecsc/#/sys/login,1696,45,4,11,26,1201,1,4629,0.00%,7.1,49.4
http://192.168.8.17/eayun-ecsc/sys/login/login.do,1696,1849,1644,3647,4569,5879,55,6638,0.00%,7.0,3.2
http://192.168.8.17/eayun-ecsc/views/main.html,1659,15,4,11,13,437,1,1580,0.00%,6.9,47.7
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,1658,533,349,1219,1675,3789,7,5205,0.00%,7.0,9.5
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,1658,455,264,1261,1678,2825,6,4734,0.00%,7.0,1.0
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,1658,457,237,1230,1747,3390,5,5508,0.00%,7.0,1.1
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,3238,503,269,1389,1856,3725,6,4859,0.00%,13.5,173.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,1658,413,200,1160,1590,3404,6,4580,0.00%,6.9,1.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,1658,401,194,1152,1595,2671,6,5410,0.00%,6.9,3.2
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,1654,24,7,15,18,1007,1,3006,0.00%,6.9,1.2
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,1654,18,5,13,16,222,0,1589,0.00%,6.9,7.2
http://192.168.8.17/eayun-ecsc/#/app,1654,36,6,13,19,902,1,4557,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/overview,1654,35,6,13,17,1190,1,4558,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,1654,27,5,12,16,1156,0,4085,0.00%,6.9,1.8
http://192.168.8.17/eayun-ecsc/#/app/cloud,1654,30,6,13,17,897,1,2656,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,1654,28,6,13,17,883,1,3012,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,1654,40,6,13,17,1204,1,4260,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,1654,18,5,12,15,219,0,1600,0.00%,6.9,4.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,1654,25,6,12,16,844,1,4481,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,1654,27,5,12,16,887,1,4382,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,1654,29,5,12,15,1019,1,4363,0.00%,6.9,21.3
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,12879,20,5,12,14,734,1,4831,0.00%,53.8,155.4
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,1654,25,5,12,15,835,1,4564,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,3259,462,224,1272,1765,3558,6,4858,0.00%,13.6,30.3
http://192.168.8.17/eayun-ecsc/views/net/main.html,1649,15,5,12,15,427,1,1599,0.00%,6.9,11.4
http://192.168.8.17/eayun-ecsc/views/directives/select.html,6443,15,4,11,14,215,0,2997,0.00%,27.0,29.2
http://192.168.8.17/eayun-ecsc/#/app/net,1649,15,5,12,15,240,1,1361,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,1649,24,5,13,16,875,1,2141,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,1649,25,5,12,16,1005,1,2422,0.00%,6.9,48.2
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,1649,442,219,1192,1692,3473,7,4857,0.00%,6.9,3.9
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,1637,20,5,12,15,1021,0,1616,0.00%,6.9,2.1
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,1637,26,5,12,15,694,1,4773,0.00%,6.9,48.1
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,3246,30,6,12,15,1086,1,4550,0.00%,13.7,95.5
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,1637,19,5,11,14,456,1,1587,0.00%,6.9,33.3
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,1636,402,188,1145,1510,2822,6,4077,0.00%,6.9,1.4
