Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,2052,18,4,20,27,442,1,1429,0.00%,6.8,48.4
http://192.168.8.17/eayun-ecsc/#/sys/login,2052,31,2,11,41,857,1,1597,0.00%,6.8,47.8
http://192.168.8.17/eayun-ecsc/sys/login/login.do,2052,2131,1854,4451,4980,6853,67,8598,0.00%,6.8,3.1
http://192.168.8.17/eayun-ecsc/views/main.html,2018,14,2,10,15,433,1,1161,0.00%,6.7,46.4
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,2018,726,428,1952,2655,3627,9,5030,0.00%,6.7,9.1
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,2008,544,298,1552,2036,3190,6,4725,0.00%,6.7,1.0
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,2000,514,246,1383,2169,3428,4,5478,0.00%,6.7,1.0
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,3935,692,335,1999,2840,4258,7,5462,0.00%,13.3,170.3
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,1997,473,190,1302,2151,3531,6,5386,0.00%,6.7,1.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,1996,462,178,1342,2175,3422,5,5434,0.00%,6.7,3.1
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,1992,13,8,12,16,219,1,1212,0.00%,6.7,1.1
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,1992,13,6,10,13,218,0,1438,0.00%,6.7,7.0
http://192.168.8.17/eayun-ecsc/#/app,1992,39,7,17,233,687,1,3023,0.00%,6.7,47.0
http://192.168.8.17/eayun-ecsc/#/app/overview,1992,30,7,16,27,664,1,3032,0.00%,6.7,47.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,1992,14,6,10,11,37,0,4140,0.00%,6.7,1.8
http://192.168.8.17/eayun-ecsc/#/app/cloud,1992,28,7,15,220,663,1,1674,0.00%,6.7,47.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,1992,28,7,14,20,663,1,2468,0.00%,6.7,47.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,1992,25,7,15,19,652,1,1961,0.00%,6.7,47.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,1992,7,6,10,11,25,0,1069,0.00%,6.7,3.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,1992,27,7,16,37,643,1,1904,0.00%,6.7,47.1
