Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,3595,32,6,26,35,865,2,3009,0.00%,6.0,42.4
http://192.168.8.17/eayun-ecsc/#/sys/login,3595,67,4,16,236,1402,1,4830,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/sys/login/login.do,3595,2869,2312,6018,7344,9370,64,21058,0.03%,5.9,2.8
http://192.168.8.17/eayun-ecsc/views/main.html,3586,29,3,14,17,889,1,5107,0.00%,6.0,41.3
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,3586,1802,985,4624,6084,7941,7,10578,0.00%,6.0,8.2
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,3585,1254,739,3110,4311,6435,5,8460,0.00%,5.9,1.0
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,3576,1153,692,3062,3969,6078,7,8258,0.00%,5.9,1.0
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,7017,1373,740,3847,4808,7081,1,12599,0.00%,11.8,150.7
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,3563,950,513,2497,3852,5956,2,7901,0.00%,6.0,1.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,3559,979,462,3002,4133,5993,2,8516,0.00%,6.0,2.8
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,3551,23,8,16,20,626,2,1580,0.00%,6.0,1.1
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,3551,20,6,13,18,223,0,4277,0.00%,6.0,6.3
http://192.168.8.17/eayun-ecsc/#/app,3551,62,7,20,410,939,1,10440,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/#/app/overview,3551,39,7,16,226,899,1,2112,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,3551,17,6,12,15,219,0,4351,0.00%,6.0,1.6
http://192.168.8.17/eayun-ecsc/#/app/cloud,3551,50,7,17,235,947,1,3059,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,3551,45,7,17,226,911,1,6234,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,3551,38,7,16,222,900,1,3393,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,3551,12,6,11,14,216,1,3095,0.00%,6.0,3.6
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,3551,45,7,16,228,913,1,4563,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,3551,41,7,16,224,875,1,21058,0.03%,6.0,41.9
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,3551,32,6,13,18,874,1,4515,0.00%,6.0,18.6
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,28049,35,7,14,22,882,1,6717,0.00%,47.3,137.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,3551,39,6,16,225,875,1,4722,0.00%,6.0,41.9
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,7054,878,467,2395,3745,5559,1,9894,0.00%,11.8,26.5
http://192.168.8.17/eayun-ecsc/views/net/main.html,3541,39,7,15,21,689,1,10498,0.00%,6.0,9.9
http://192.168.8.17/eayun-ecsc/views/directives/select.html,14027,16,6,12,15,218,1,4561,0.00%,23.7,25.9
http://192.168.8.17/eayun-ecsc/#/app/net,3541,57,7,19,237,1086,1,4296,0.00%,6.0,41.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,3541,44,7,17,228,912,1,4275,0.00%,6.0,41.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,3541,36,7,16,222,862,1,4085,0.00%,6.0,41.8
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,3541,948,454,2734,4047,6074,10,12037,0.00%,5.9,3.5
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,3530,23,7,14,17,243,0,4310,0.00%,6.0,1.9
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,3530,59,7,19,240,1143,1,10229,0.00%,6.0,41.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,7033,49,8,18,233,904,1,7422,0.00%,11.9,83.0
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,3530,40,7,15,216,876,1,4601,0.00%,6.0,28.8
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,3530,877,390,2415,3760,5789,5,21073,0.03%,5.9,1.3
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,3522,771,329,2194,3141,5163,7,8452,0.00%,5.9,2.1
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,3511,22,7,14,17,229,0,4063,0.00%,5.9,2.0
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,3511,670,296,1810,2760,4770,6,8268,0.00%,5.9,3.4
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,3503,69,8,22,427,1190,1,21016,0.03%,5.9,41.4
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,3503,13,7,12,15,217,0,4373,0.00%,5.9,4.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,3503,60,8,23,412,945,1,4241,0.00%,5.9,41.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,3503,43,8,17,228,905,1,4900,0.00%,5.9,41.4
