Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,9392,19,4,19,26,430,1,4359,0.00%,5.3,37.2
http://192.168.8.17/eayun-ecsc/#/sys/login,9392,14,3,10,13,253,1,1574,0.00%,5.3,36.7
http://192.168.8.17/eayun-ecsc/sys/login/login.do,9387,1982,1648,4053,4930,6868,66,12298,0.00%,5.3,2.4
http://192.168.8.17/eayun-ecsc/views/main.html,9387,12,3,10,13,230,1,4380,0.00%,5.3,36.3
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,9387,906,534,2296,3095,4458,7,7706,0.00%,5.3,7.1
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,9382,685,394,1759,2286,3574,5,82343,0.00%,5.0,.7
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,9378,681,394,1719,2423,3713,5,9887,0.00%,5.3,.8
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,18693,738,416,1910,2668,4019,6,7270,0.00%,10.5,134.5
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,9373,636,333,1655,2419,3866,5,82468,0.00%,5.0,.7
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,9371,627,323,1647,2363,3785,5,82433,0.00%,5.0,2.3
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,9370,18,6,14,17,219,1,4497,0.00%,5.3,.9
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,9370,15,4,11,14,216,0,1569,0.00%,5.3,5.5
http://192.168.8.17/eayun-ecsc/#/app,9370,27,5,13,17,856,1,4380,0.00%,5.3,36.8
http://192.168.8.17/eayun-ecsc/#/app/overview,9370,20,5,12,15,629,1,1693,0.00%,5.3,36.8
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,9370,13,4,11,13,212,0,4163,0.00%,5.3,1.4
http://192.168.8.17/eayun-ecsc/#/app/cloud,9370,18,4,12,15,500,1,3025,0.00%,5.3,36.8
