Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,6918,17,4,18,25,307,1,4367,0.00%,5.8,40.7
http://192.168.8.17/eayun-ecsc/#/sys/login,6918,15,2,9,13,426,1,1399,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/sys/login/login.do,6918,2086,1763,4366,5208,7206,58,15047,0.00%,5.8,2.6
http://192.168.8.17/eayun-ecsc/views/main.html,6917,14,2,10,13,445,1,1728,0.00%,5.8,39.7
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,6917,890,500,2286,3039,5039,6,11375,0.00%,5.8,7.8
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,6914,713,371,1869,2661,4188,5,7785,0.00%,5.8,.9
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,6913,686,366,1816,2564,4003,3,10536,0.00%,5.8,.9
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,13735,768,402,1972,2761,4332,6,10545,0.00%,11.5,147.0
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,6913,577,268,1586,2348,4266,4,10394,0.00%,5.8,.8
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,6913,540,234,1516,2248,3936,5,10489,0.00%,5.8,2.7
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,6912,13,6,12,15,216,1,4315,0.00%,5.8,1.0
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,6912,8,5,10,12,214,0,1365,0.00%,5.8,6.0
http://192.168.8.17/eayun-ecsc/#/app,6912,34,5,15,225,857,1,4451,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/#/app/overview,6912,27,5,14,20,742,1,4124,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,6912,8,4,10,11,36,0,3026,0.00%,5.8,1.5
http://192.168.8.17/eayun-ecsc/#/app/cloud,6912,25,5,13,19,672,1,4125,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,6912,21,5,12,18,646,1,4220,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,6912,22,5,12,18,664,1,1722,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,6912,8,4,10,11,22,0,4176,0.00%,5.8,3.4
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,6912,23,5,13,19,665,1,1974,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,6912,19,5,12,18,479,1,1591,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,6912,15,4,10,12,421,0,3090,0.00%,5.8,17.8
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,55172,18,5,10,13,463,0,4089,0.00%,46.1,133.3
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,6912,22,5,12,18,665,1,4531,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,13812,456,223,1231,1891,3342,5,10472,0.00%,11.5,25.8
http://192.168.8.17/eayun-ecsc/views/net/main.html,6911,18,5,10,13,611,0,1568,0.00%,5.8,9.5
http://192.168.8.17/eayun-ecsc/views/directives/select.html,27571,8,4,10,11,33,0,4578,0.00%,23.1,24.9
http://192.168.8.17/eayun-ecsc/#/app/net,6911,33,5,16,223,846,1,4066,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,6911,22,5,14,19,649,1,2213,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,6911,21,5,12,18,527,1,2089,0.00%,5.8,40.4
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,6911,498,227,1426,2139,3515,6,10451,0.00%,5.8,3.3
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,6911,10,5,10,11,215,0,4075,0.00%,5.8,1.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,6910,30,5,15,219,832,1,1944,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,13810,26,6,15,20,678,1,3358,0.00%,11.6,80.6
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,6910,21,5,11,16,518,1,4437,0.00%,5.8,27.9
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,6910,439,187,1247,1846,3399,4,10523,0.00%,5.8,1.2
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,6909,405,181,1141,1665,3151,6,6667,0.00%,5.8,2.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,6903,12,6,10,12,216,0,3065,0.00%,5.8,1.9
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,6903,381,157,1060,1674,2986,4,10228,0.00%,5.8,3.3
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,6900,41,7,17,230,882,1,6802,0.00%,5.8,40.3
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,6900,11,6,10,11,212,0,4104,0.00%,5.8,4.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,6900,34,7,16,224,842,1,20994,0.01%,5.8,40.3
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,6900,25,7,15,20,665,1,3424,0.00%,5.8,40.3
