Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
http://192.168.8.17/eayun-ecsc,1846,24,8,18,23,432,2,4523,0.00%,7.7,54.5
http://192.168.8.17/eayun-ecsc/#/sys/login,1846,107,5,220,823,1596,1,4600,0.00%,7.7,53.9
http://192.168.8.17/eayun-ecsc/sys/login/login.do,1846,2400,2130,4986,5817,7184,47,9049,0.00%,7.7,3.5
http://192.168.8.17/eayun-ecsc/views/main.html,1838,23,4,12,14,504,1,10496,0.00%,7.7,53.0
http://192.168.8.17/eayun-ecsc/sys/power/getRoutesByRole.do,1838,1336,909,3319,3890,5293,7,9591,0.00%,7.6,10.4
http://192.168.8.17/eayun-ecsc/monitor/alarm/getUnhandledAlarmMsgNumberByCusId.do,1818,1036,595,2686,3384,4852,5,7196,0.00%,7.6,1.2
http://192.168.8.17/eayun-ecsc/sys/news/unreadCount.do,1807,966,500,2614,3474,4314,5,8415,0.00%,7.6,1.3
http://192.168.8.17/eayun-ecsc/sys/news/getUnreadList.do,3505,1046,621,2769,3536,5148,6,8524,0.00%,14.9,191.6
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkCount.do,1803,713,323,2030,2711,4016,6,8802,0.00%,7.7,1.2
http://192.168.8.17/eayun-ecsc/sys/work/unHandleWorkNum.do,1801,665,237,2013,2893,4420,6,6676,0.00%,7.7,3.7
http://192.168.8.17/eayun-ecsc/sys/notice/getNowTime.do,1798,34,9,18,24,1270,2,3069,0.00%,7.7,1.4
http://192.168.8.17/eayun-ecsc/views/work/tooltip.html,1798,48,7,15,43,1297,0,4333,0.00%,7.7,8.1
http://192.168.8.17/eayun-ecsc/#/app,1798,55,7,16,228,1333,1,4755,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/#/app/overview,1798,59,8,17,230,1354,1,3047,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/main.html,1798,44,7,14,32,1385,0,4467,0.00%,7.7,2.1
http://192.168.8.17/eayun-ecsc/#/app/cloud,1798,58,7,16,235,1287,1,4500,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost,1798,60,7,16,426,1305,1,4356,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/host,1798,56,7,15,51,1375,1,4547,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/main.html,1798,42,7,14,19,1365,1,4575,0.00%,7.7,4.6
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume,1798,60,7,16,222,1162,1,21024,0.06%,7.7,54.0
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/volume/volumeList,1798,46,7,15,33,1069,1,4529,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/views/cloudhost/image/imagemng.html,1798,56,6,14,22,1344,1,4739,0.00%,7.7,23.9
http://192.168.8.17/eayun-ecsc/views/directives/tablepage.html,14228,48,7,14,20,1281,1,10643,0.00%,61.1,176.9
http://192.168.8.17/eayun-ecsc/#/app/cloud/cloudhost/imageList,1798,49,7,15,217,1253,1,4602,0.00%,7.7,54.0
http://192.168.8.17/eayun-ecsc/cloud/vm/getDatacenterProjectList.do,3578,530,37,1583,2310,4004,5,73190,0.00%,15.3,34.3
http://192.168.8.17/eayun-ecsc/views/net/main.html,1792,59,7,15,211,1394,1,4678,0.00%,7.7,12.7
http://192.168.8.17/eayun-ecsc/views/directives/select.html,7101,47,6,13,17,1235,0,96095,0.00%,22.4,24.4
http://192.168.8.17/eayun-ecsc/#/app/net,1791,51,7,16,49,1193,1,4456,0.00%,7.7,53.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar,1791,70,8,16,418,1398,1,4688,0.00%,7.7,53.8
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/net,1790,52,8,15,40,1318,1,4668,0.00%,7.7,53.8
http://192.168.8.17/eayun-ecsc/cloud/image/getImageList.do,1790,562,50,1563,2252,4282,6,73364,0.00%,7.7,4.4
http://192.168.8.17/eayun-ecsc/views/net/route/routemain.html,1786,35,7,14,19,1123,1,4346,0.00%,7.7,2.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route,1786,103,8,15,227,1344,1,96085,0.00%,5.6,39.4
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/route/routeList,3567,93,8,16,240,1403,1,96150,0.00%,11.3,78.6
http://192.168.8.17/eayun-ecsc/views/net/route/routedetail.html,1785,58,7,15,227,1305,1,4518,0.00%,7.7,37.1
http://192.168.8.17/eayun-ecsc/tag/getResourceTagForShowcase.do,1785,467,22,1575,2235,4055,5,6640,0.00%,7.7,1.6
http://192.168.8.17/eayun-ecsc/cloud/route/getRouteDetail.do,1783,394,32,1208,1839,3735,5,6279,0.00%,7.7,2.7
http://192.168.8.17/eayun-ecsc/views/cloudhost/volume/volumedescription.html,1783,42,8,14,19,1259,0,4536,0.00%,7.7,2.5
http://192.168.8.17/eayun-ecsc/cloud/subnetwork/getSubnetWorksByRouteId.do,1783,372,28,1179,1901,3625,6,6391,0.00%,7.6,4.4
http://192.168.8.17/eayun-ecsc/#/app/net/routeDatil/1509211142230/24595846024c4df0bdbfffd464877876/bc33e645-f24d-427b-8f4c-c6a844ed4457,1782,61,8,18,236,1340,1,2750,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/loadmng.html,1781,69,8,15,52,1503,0,4593,0.00%,7.7,5.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance,1781,74,8,15,246,1571,1,4698,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/poolList,1781,62,8,16,222,1395,1,4412,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/member/membermng.html,1781,60,8,15,217,1385,1,4758,0.00%,7.7,23.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/member,1781,53,8,15,222,1298,1,4454,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/healthmonitor/monitormng.html,1780,61,7,15,221,1398,1,4749,0.00%,7.7,23.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/healthmonitor,1780,54,8,15,221,1306,1,10256,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/views/net/loadbalance/vip/vipmng.html,1780,43,7,14,18,1273,1,4723,0.00%,7.7,27.2
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/loadbalance/vip,1780,51,8,15,35,1306,1,4342,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/views/net/floatip/floatmng.html,1780,54,7,14,18,1381,1,4473,0.00%,7.7,15.7
http://192.168.8.17/eayun-ecsc/#/app/net/netbar/floatip,1780,51,7,15,223,1388,1,2664,0.00%,7.7,53.7
http://192.168.8.17/eayun-ecsc/views/safety/safetymain.html,1776,101,7,14,28,1206,1,96150,0.00%,5.6,8.6
http://192.168.8.17/eayun-ecsc/#/app/safety,1775,52,8,15,231,1237,1,3006,0.00%,7.7,53.6
http://192.168.8.17/eayun-ecsc/#/app/safety/safetybar,1775,113,8,15,227,1400,1,96151,0.00%,5.6,39.2
